# phase src dst weight
21 53 53 0.60000000
21 54 54 0.60000000
21 55 55 0.60000000
21 56 50 30.75000000
21 56 54 30.75000000
21 56 56 0.60000000
21 56 58 30.75000000
21 56 62 30.75000000
21 57 57 0.60000000
21 58 58 0.60000000
21 59 59 0.60000000
21 60 60 0.60000000
21 61 61 0.60000000
21 62 62 0.60000000
21 63 51 30.75000000
21 63 55 30.75000000
21 63 59 30.75000000
21 63 63 31.35000000
22 0 32 30.75000000
22 0 36 30.75000000
22 0 40 30.75000000
22 0 44 30.75000000
22 7 33 30.75000000
22 7 37 30.75000000
22 7 41 30.75000000
22 7 45 30.75000000
22 32 32 0.60000000
22 33 33 0.60000000
22 34 34 0.60000000
22 35 35 0.60000000
22 36 36 0.60000000
22 37 37 0.60000000
22 38 38 0.60000000
22 39 39 0.60000000
22 40 40 0.60000000
22 41 41 0.60000000
22 42 42 0.60000000
22 43 43 0.60000000
22 44 44 0.60000000
22 45 45 0.60000000
22 46 46 0.60000000
22 47 47 0.60000000
22 56 34 30.75000000
22 56 38 30.75000000
22 56 42 30.75000000
22 56 46 30.75000000
22 63 35 30.75000000
22 63 39 30.75000000
22 63 43 30.75000000
22 63 47 30.75000000
23 0 16 30.75000000
23 0 20 30.75000000
23 0 24 30.75000000
23 0 28 30.75000000
23 7 17 30.75000000
23 7 21 30.75000000
23 7 25 30.75000000
23 7 29 30.75000000
23 16 16 0.60000000
23 17 17 0.60000000
23 18 18 0.60000000
23 19 19 0.60000000
23 20 20 0.60000000
23 21 21 0.60000000
23 22 22 0.60000000
23 23 23 0.60000000
23 24 24 0.60000000
23 25 25 0.60000000
23 26 26 0.60000000
23 27 27 0.60000000
23 28 28 0.60000000
23 29 29 0.60000000
23 30 30 0.60000000
23 31 31 0.60000000
23 56 18 30.75000000
23 56 22 30.75000000
23 56 26 30.75000000
23 56 30 30.75000000
23 63 19 30.75000000
23 63 23 30.75000000
23 63 27 30.75000000
23 63 31 30.75000000
24 0 0 31.35000000
24 0 4 30.75000000
24 0 8 30.75000000
24 0 12 30.75000000
24 1 1 0.60000000
24 2 2 0.60000000
24 3 3 0.60000000
24 4 4 0.60000000
24 5 5 0.60000000
24 6 6 0.60000000
24 7 1 30.75000000
24 7 5 30.75000000
24 7 7 0.60000000
24 7 9 30.75000000
24 7 13 30.75000000
24 8 8 0.60000000
24 9 9 0.60000000
24 10 10 0.60000000
24 11 11 0.60000000
24 12 12 0.60000000
24 13 13 0.60000000
24 14 14 0.60000000
24 15 15 0.60000000
24 56 2 30.75000000
24 56 6 30.75000000
24 56 10 30.75000000
24 56 14 30.75000000
24 63 3 30.75000000
24 63 7 30.75000000
24 63 11 30.75000000
24 63 15 30.75000000
25 0 48 30.75000000
25 0 52 30.75000000
25 0 56 30.75000000
25 0 60 30.75000000
25 7 49 30.75000000
25 7 53 30.75000000
25 7 57 30.75000000
25 7 61 30.75000000
25 48 48 0.60000000
25 49 49 0.60000000
25 50 50 0.60000000
25 51 51 0.60000000
25 52 52 0.60000000
25 53 53 0.60000000
25 54 54 0.60000000
25 55 55 0.60000000
25 56 50 30.75000000
25 56 54 30.75000000
25 56 56 0.60000000
25 56 58 30.75000000
25 56 62 30.75000000
25 57 57 0.60000000
25 58 58 0.60000000
25 59 59 0.60000000
25 60 60 0.60000000
25 61 61 0.60000000
25 62 62 0.60000000
25 63 51 30.75000000
25 63 55 30.75000000
25 63 59 30.75000000
25 63 63 31.35000000
26 0 32 30.75000000
26 0 36 30.75000000
26 0 40 30.75000000
26 0 44 30.75000000
26 7 33 30.75000000
26 7 37 30.75000000
26 7 41 30.75000000
26 7 45 30.75000000
26 32 32 0.60000000
26 33 33 0.60000000
26 34 34 0.60000000
26 35 35 0.60000000
26 36 36 0.60000000
26 37 37 0.60000000
26 38 38 0.60000000
26 39 39 0.60000000
26 40 40 0.60000000
26 41 41 0.60000000
26 42 42 0.60000000
26 43 43 0.60000000
26 44 44 0.60000000
26 45 45 0.60000000
26 46 46 0.60000000
26 47 47 0.60000000
26 56 34 30.75000000
26 56 38 30.75000000
26 56 42 30.75000000
26 56 46 30.75000000
26 63 35 30.75000000
26 63 39 30.75000000
26 63 43 30.75000000
26 63 47 30.75000000
27 0 16 30.75000000
27 0 20 30.75000000
27 0 24 30.75000000
27 0 28 30.75000000
27 7 17 30.75000000
27 7 21 30.75000000
27 7 25 30.75000000
27 7 29 30.75000000
27 16 16 0.60000000
27 17 17 0.60000000
27 18 18 0.60000000
27 19 19 0.60000000
27 20 20 0.60000000
27 21 21 0.60000000
27 22 22 0.60000000
27 23 23 0.60000000
27 24 24 0.60000000
27 25 25 0.60000000
27 26 26 0.60000000
27 27 27 0.60000000
27 28 28 0.60000000
27 29 29 0.60000000
27 30 30 0.60000000
27 31 31 0.60000000
27 56 18 30.75000000
27 56 22 30.75000000
27 56 26 30.75000000
27 56 30 30.75000000
27 63 19 30.75000000
27 63 23 30.75000000
27 63 27 30.75000000
27 63 31 30.75000000
28 0 0 31.35000000
28 0 4 30.75000000
28 0 8 30.75000000
28 0 12 30.75000000
28 1 1 0.60000000
28 2 2 0.60000000
28 3 3 0.60000000
28 4 4 0.60000000
28 5 5 0.60000000
28 6 6 0.60000000
28 7 1 30.75000000
28 7 5 30.75000000
28 7 7 0.60000000
28 7 9 30.75000000
28 7 13 30.75000000
28 8 8 0.60000000
28 9 9 0.60000000
28 10 10 0.60000000
28 11 11 0.60000000
28 12 12 0.60000000
28 13 13 0.60000000
28 14 14 0.60000000
28 15 15 0.60000000
28 56 2 30.75000000
28 56 6 30.75000000
28 56 10 30.75000000
28 56 14 30.75000000
28 63 3 30.75000000
28 63 7 30.75000000
28 63 11 30.75000000
28 63 15 30.75000000
29 0 48 30.75000000
29 0 52 30.75000000
29 0 56 30.75000000
29 0 60 30.75000000
29 7 49 30.75000000
29 7 53 30.75000000
29 7 57 30.75000000
29 7 61 30.75000000
29 48 48 0.60000000
29 49 49 0.60000000
29 50 50 0.60000000
29 51 51 0.60000000
29 52 52 0.60000000
29 53 53 0.60000000
29 54 54 0.60000000
29 55 55 0.60000000
29 56 50 30.75000000
29 56 54 30.75000000
29 56 56 0.60000000
29 56 58 30.75000000
29 56 62 30.75000000
29 57 57 0.60000000
29 58 58 0.60000000
29 59 59 0.60000000
29 60 60 0.60000000
29 61 61 0.60000000
29 62 62 0.60000000
29 63 51 30.75000000
29 63 55 30.75000000
29 63 59 30.75000000
29 63 63 31.35000000
30 0 32 30.75000000
30 0 36 30.75000000
30 0 40 30.75000000
30 0 44 30.75000000
30 7 33 30.75000000
30 7 37 30.75000000
30 7 41 30.75000000
30 7 45 30.75000000
30 32 32 0.60000000
30 33 33 0.60000000
30 34 34 0.60000000
30 35 35 0.60000000
30 36 36 0.60000000
30 37 37 0.60000000
30 38 38 0.60000000
30 39 39 0.60000000
30 40 40 0.60000000
30 41 41 0.60000000
30 42 42 0.60000000
30 43 43 0.60000000
30 44 44 0.60000000
30 45 45 0.60000000
30 46 46 0.60000000
30 47 47 0.60000000
30 56 34 30.75000000
30 56 38 30.75000000
30 56 42 30.75000000
30 56 46 30.75000000
30 63 35 30.75000000
30 63 39 30.75000000
30 63 43 30.75000000
30 63 47 30.75000000
31 0 16 30.75000000
31 0 20 30.75000000
31 0 24 30.75000000
31 0 28 30.75000000
31 7 17 30.75000000
31 7 21 30.75000000
31 7 25 30.75000000
31 7 29 30.75000000
31 16 16 0.60000000
31 17 17 0.60000000
31 18 18 0.60000000
31 19 19 0.60000000
31 20 20 0.60000000
31 21 21 0.60000000
31 22 22 0.60000000
31 23 23 0.60000000
31 24 24 0.60000000
31 25 25 0.60000000
31 26 26 0.60000000
31 27 27 0.60000000
31 28 28 0.60000000
31 29 29 0.60000000
31 30 30 0.60000000
31 31 31 0.60000000
